word	type	rafsi	selmaho	definition	notes	jargon	collection_note	score	glossword_1	glossword_1_meaning	glossword_2	glossword_2_meaning	glossword_3	glossword_3_meaning	glossword_4	glossword_4_meaning	glossword_5	glossword_5_meaning	glossword_6	glossword_6_meaning	glossword_7	glossword_7_meaning	glossword_8	glossword_8_meaning	glossword_9	glossword_9_meaning	glossword_10	glossword_10_meaning	glossword_11	glossword_11_meaning	glossword_12	glossword_12_meaning	glossword_13	glossword_13_meaning	glossword_14	glossword_14_meaning	glossword_15	glossword_15_meaning	glossword_16	glossword_16_meaning	glossword_17	glossword_17_meaning	glossword_18	glossword_18_meaning	glossword_19	glossword_19_meaning	glossword_20	glossword_20_meaning	placekeyword_1	placekeyword_1_meaning	placekeyword_2	placekeyword_2_meaning	placekeyword_3	placekeyword_3_meaning	placekeyword_4	placekeyword_4_meaning	placekeyword_5	placekeyword_5_meaning	placekeyword_6	placekeyword_6_meaning	placekeyword_7	placekeyword_7_meaning
ibri	fu'ivla			$x_1$'s job/occupation is to satisfy property $x_2$.	Synonym: {seljibri}.			1																																																						
ibu	bu-letteral		BY*	letteral for i.				100000	i																																																					
ibu zei sance	zei-lujvo			$x_1$ is a close front unrounded vowel sound produced by $x_2$.	Synonyms: {isnce}, {isna}.	linguistics		2	close front unrounded vowel sound		close front unrounded vowel	phone	I sound	sound of the letter I in Lojban and many other languages	high front unrounded vowel	phone																																	close front unrounded vowel	phone	speech-sound producer											
ibu zei zunsna	zei-lujvo			$x_1$ is a voiced palatal approximant/glide sound produced by $x_2$.	{zi'evla} synonym: {iasnce}. Cf. {ibu zei sance}/{isnce}/{isna}, {ubu zei zunsna}, {zunsna}, {nalmosysna}.	linguistics		2	voiced palatal approximant	phone	voiced palatal approximant sound		voiced palatal glide	phone	voiced palatal glide sound																																		voiced palatal glide sound		speech-sound producer											
ibymym	cmevla			International Business Machines Corporation				1	IBM																																																					
icki	fu'ivla			$x_1$ “rearranges/shifts/shuffles the deck chairs on the Titanic/is bikeshedding,” with action $x_2$, which is pointless by standard $x_3$ for fixing problem $x_4$.	To do something pointless when there are bigger problems, such as rearranging the deck chairs on the sinking Titanic or discussing what materials to build a bikeshed out of when approving plans for a nuclear power plant.			1	rearrange the deck chairs on the Titanic		shift the deck chairs on the Titanic		shuffle the deck chairs on the Titanic		bikeshedding																																															
icmo	fu'ivla			$x_1$ moans expressing about $x_3$ emotions/cognitive [psychological] phenomena that can be otherwise expressed by indicators $x_2$ (text)	See also {inmo}, {cmoni}. 'icmo li ii' is 'to shriek about'.			1																																																						
icra	fu'ivla			$x_1$ (event) interrupts/stops/halts, temporarily ceasing to happen or unfold.				2																																																						
ictce	fu'ivla			$x_{1}$ reflects the Prehistoric China culture/nationality in aspect $x_{2}$.				2	Prehistoric China																																																					
idra	fu'ivla			$x_1$ is a hydra of species $x_2$				2																																																						
i'e	cmavo		UI1	attitudinal: approval - non-approval - disapproval.	See also {zanru}.			100000	approval																																																					
ie	cmavo		UI1	attitudinal: agreement - disagreement.	See also {tugni}.			100000	agreement																																																					
i'ecu'i	cmavo-compound		UI*1	attitudinal: approval - non-approval - disapproval.				100000	non-approval																																																					
iedra	fu'ivla			$x_1$ is ivy of species/variety $x_2$.				1	ivy																																																					
ie'e	experimental cmavo		UI1	attitudinal: finding something reasonable - unreasonable	Expresses the sentiment of, "I can get why it'd be this way", or "that seems like an understandable way to act/feel/behave".  (Or, with {nai}, its opposite: the feeling that some situation or behavior is totally unreasonable / senseless / irrational.)			3																																																						
ie'i	experimental cmavo		UI1	attitudinal: disgust - attraction	Expresses disgust (loathing, revulsion). Based on {rigni}, its opposite is {trina} (attraction, liking). To be used instead of the "disgust"/repulsion of {a'unai} for any kind of disgust whose opposite is not {cinri}, but trina.			4	disgust																																																					
ieinki	fu'ivla			$x_1$ is a Yank(ee); $x_1$ displays Yankee culture/history in aspect $x_2$ according to $x_3$	Not necessarily pejorative, but probably fairly colloquial. It has the same semantic ambiguity as in English: it may refer to an American or something exhibiting American characteristics (especially a thoroughly patriotic American spirit), America as a colonial power, or a Unionist, or something pertaining/belonging to the northern states (or even more specifically, New England). See also: {merko}.			2	Yankee	American or Unionist or northern states																																																				
i'enai	cmavo-compound		UI*1	attitudinal: approval - non-approval - disapproval.				99999	disapproval																																																					
ienai	cmavo-compound		UI*1	attitudinal: agreement - disagreement.				100000	disagreement																																																					
ienceri	fu'ivla			$x_1$ is a Janissary				1																																																						
ientrau	fu'ivla			$x_{1}$ reflects the Yuan Dynasty culture/nationality in aspect $x_{2}$.				1	Yuan		Yuan Dynasty																																																			
ie'o	experimental cmavo		Y	filler word: um, like, y'know	Signifies that the speaker wants to "hold the floor" in a conversation, and is thinking of what to say next.			1																																																						
ierbamate	fu'ivla			$x_1$ is maté/yerba mate (plant) of cultivar $x_2$	Refers to the plant itself; for the drink prepared therefrom, use {ierbamate} {tcati}. See also {tcati}, {ckafi}, {spati}.			2	maté	plant used to make tea	yerba mate	plant used to make tea																																					maté	plant used to make tea												
ierbamatei	fu'ivla			$x_1$ is made of/contains/is a quantity of yerba maté drink brewed from leaves $x_2$				1	yerba maté	beverage	maté	beverage																																					maté beverage		maté leaves											
iersini'a	fu'ivla			$x_1$ is a bacterium/bacteria of genus Yersinia	Includes Y. pestis, cause of bubonic plague			1	Yersinia	genus of bacteria	plague	disease caused by Y. pestis																																					Yersinia	genus of bacteria												
ieRUcaly'im	cmevla			Jerusalem				1	Jerusalem																																																					
iesys	cmevla			Jesus	Swedish pronunciation			1																																																						
ietnu	fu'ivla			$x_1$ is true, is the case.				2	true																																																					
ie'udji	fu'ivla			$x_1$ reflects Jewish/Judean/Judahite religion/culture/ethnicity in aspect $x_2$	The translation depends on the historical period. See also {xebro}, {fraimi}, {ckenazi}, {sfaradi}, {cmoroni}.			1	Jewish		Judean		Judahite																																																	
ie'udjo	fu'ivla			$x_1$ reflects Jewish/Judean/Judahite religion/culture/ethnicity in aspect $x_2$				2	Jewish																																																					
ifkakne	fu'ivla			$x_1$ is passively $x_2$-able under conditions $x_3$; $x_1$ is such that event $x_2$ (nu) can happen to it; it is possible that  $x_1$ may undergo $x_2$	$x_1$ does not perform any action; rather it can have actions performed to it.			2	-able	passive																																																				
ifle	fu'ivla			if $x_1$ (proposition) is true then $x_2$ (event) happens else $x_3$ (event) happens	Alternatively, $x_2$ and $x_3$ may be propositions that are true rather than events that happen. See {ga}{nai}, {jetnu}, {va'o}			5	if-else construct																																																					
ifletnu	fu'ivla			If $x_1$ (proposition) is true, then $x_2$ (proposition) is logically guaranteed to be true too, and $x_1$ is indeed true.	Valid and sound.			1	satisfied IF		modus ponens statement		sound IF																																																	
ifti	fu'ivla			$x_1$ is near and can be pointed to (or described as being pointed to) by the speaker	See {ti}, {afta}, {uftu}, {degja'o}			1																																																						
iglu	fu'ivla			$x_1$ is an igloo	See also {dinju}, {bisli}, {bangiku'u}, {bangikutu}, {bangiku'e}			3	igloo																																																					
igvana	fu'ivla			$x_1$ is an iguana of species $x_2$				2																																																						
i'i	cmavo		UI1	attitudinal: togetherness - privacy.	See also {kansa}, {gunma}, {sivni}, {sepli}.			100001	togetherness																																																					
ii	cmavo		UI1	attitudinal: fear - security.	See also {terpa}, {snura}.			100001	fear																																																					
ii'au	experimental cmavo		UI	attitudinal: yee-haw!	u'ivla. See also: {a'oi}, {o'ai}, {ni'au}, {mi'au}.	cowboy speak		3																																																						
iicmo	fu'ivla			$x_1$ screams/shrieks in fear with sound $x_2$	See {ii}, {cmoni}, {terpa}			2	scream	in fear	shriek	in fear																																																		
i'inai	cmavo-compound		UI*1	attitudinal: togetherness - privacy.				100000	privacy																																																					
iinai	cmavo-compound		UI*1	attitudinal: fear - security.				100000	security																																																					
iinsi	fu'ivla			$x_1$ (sequence) is a chain, the neighbouring elements of which are related by $x_2$ ($ckini_3$, former element in sequence first)	cf. {linsi}, {ckini}, {efku}			3																																																						
iitfa	fu'ivla			$x_1$ is false.				2	false																																																					
iizme	fu'ivla			$x_1$ is a doctrine/theory/system/philosophy/practice/action/habit/mindset/ism characterized by belief/tendency/action/idea $x_2$ (abstraction), and incidentally is practiced by $x_3$ (and possibly others).	Not necessarily derogatory. "Materialism" (any sense) is a type of ism as much as racism, whataboutism, or Trumpism is. This word is meant to be a calque of the English word "ism". Closely related to ".{ismo}".			1	ism																																																					
i'izva	fu'ivla			$x_1$ hang out doing $x_2$ (ka)	The property x2 is a property of the individuals in x1 that are hanging out. This word suggests that the activity involves casual socializing among the members of x1.			2	hang out																																																					
ija	cmavo-compound		JA*	logical connective: sentence afterthought or.				100000	sentence or																																																					
ijanai	cmavo-compound		JA*	logical connective: sentence afterthought: (preceding sentence) if this sentence.				100000	sentence if																																																					
ije	cmavo-compound		JA*	logical connective: sentence afterthought and.				100000	sentence and																																																					
ije'i	cmavo-compound		JA*	logical connective: sentence afterthought conn question.				100000	sentence conn ?																																																					
ijenai	cmavo-compound		JA*	logical connective: sentence afterthought x but not y.				100000	sentence but not																																																					
ijo	cmavo-compound		JA*	logical connective: sentence afterthought biconditional/iff/if-and-only-if.				100000	sentence iff																																																					
ijonai	cmavo-compound		JA*	logical connective: sentence afterthought exclusive or; Latin 'aut'.				100000	sentence xor																																																					
iju	cmavo-compound		JA*	logical connective: sentence afterthought whether-or-not.				100000	sentence whether																																																					
ike'as	cmevla			IKEA				1	Ikea	name																																																				
ikfiio	fu'ivla			$x_1$ is a icthyosaur [member of order Ichthyosauria] of subtaxon/type/genus/species/variety/breed $x_2$.	See also: {dinso}, {dinsauru}, {plesiio}, {disrmuzo}, {rexsa}, {ketslau}.			2	icthyosaur	member of order Ichthyosauria																																																				
iklki	fu'ivla			$x_1$ clicks (press and release) button/switch $x_2$ to cause $x_3$ (nu).	See also {batke}, {danre}.			3	click	press and release																																																				
iklkitu	fu'ivla			$x_1$ secondary-clicks (right-clicks, presses and holds) $x_2$ (UI element)	See {iklki}, {uidje}			1																																																						
iksodida	fu'ivla			$x_1$ is a tick/member of subgenus Ixodida of species $x_2$				2	tick	parasite																																																				
iku'i	cmavo-compound			'However,' 'But', 'In contrast'; separates utterances				2																																																						
ilkai	fu'ivla			$x_1$ (number) is what $x_2$ (string) represents	Predicate version of {li}			2																																									number	represented by a string	string	representing a number										
ilka'u	fu'ivla			$x_1$ (plural) is such that $x_2$ (number) of its members satisfy the property $x_3$	Possibly synonymous with {zilkancu}. See also {kaidza}, {kampu}, {nartolkau}, {kancu}.			2	counting quantification	among																																																				
ilki	fu'ivla			$x_1$ (text) is written in a dialect where every bridi has arguments expressed in Lakoff's image schemata	Labels of roles: {di'o} - {sedi'o} for CONTAINER, {pa'u} - {sepa'u} for PART-WHOLE, {ra'i} - {sera'i} for CENTER-PERIPHERY, {sepu'e} - {vepu'e} - {tepu'e} for SOURCE-PATH-GOAL, {ra'a} for LINK, {mau} - {semau} for MORE-LESS, {gau} for PROTOTYPE, {ja'i} for the rules describing the semantic cases schema. To be used with {sei}. To use only for a given bridi without affecting child bridi the transformation 'SELBRI => SELBRI .ilki' can be used (as an alternative to using {sei}) thus putting {ilki} as the tertau of a newly formed selbri. See also {jo'au}, {ensi}, {esme}, {onga}.			2																																																						
ilmismu	fu'ivla			$x_1$ is an ismu of $x_2$, having the same meaning, but with all places except the $x_3$-th (li/set) zi'o-deleted.	For example, "zo .{inku} .ilmismu zo {jinku} li pa": {inku} is {jinku} with only the x1. Named after la .ilmen, who pioneered defining such words. See {ismu}.			1																																																						
ilnu	fu'ivla			$x_1$ is a cloud.	See also {dilnu}.			1																																																						
i lo ka djica da cu pabykanpystika lo ka claxu da	phrase			Wanting something suggests lacking it.	A revision of an older entry that used «nibli» instead of «pabykanpystika».  It is explicitly about evidence and suggesting a lack, although «nibli» doesn't necessarily mean «mulno nibli», e.g. ‘entails’, but can also mean ‘implies’, so the original version works too.  «nibli» : «pabykanpystika» :: «ni'i» : «ni'i'e».			1																																																						
ilpofu	fu'ivla			$x_1$ is a dagger made of $x_2$	cf. Lojban Is Crazy (defined as "a bright rapid weapon")			1	dagger	bladed weapon	dirk		bodkin																																																	
imla	fu'ivla			$x_1$ is {mi} / me / the speaker, in {selsku} / message / situation $x_2$.	See {odla}			2	me	the speaker	the speaker																																																			
imli	fu'ivla			$x_1$ is tamarind of variety $x_2$.	From Hindi इमली imlī.			2	tamarind																																																					
impera	fu'ivla			$x_1$ is an empire				1	empire																																																					
imperative	fu'ivla			$x_1$ has an intention to influence the behavior of $x_2$, to command, control $x_2$	{zo} {ko} {valsi} {lo} {zu'e} {imperative} - '{ko} is a word expressing imperative action'			2																																																						
imperia	obsolete fu'ivla			$x_1$ is an empire				1																																																						
impetu	fu'ivla			$x_1$ is the momentum [vector] of $x_2$ in frame of reference $x_3$	$x_1$ can be a vector, e.g. four-vector. Might be pretty general in its semantic scope ("quantity of movement"); at the very least includes both Relativistic (four-vector) and Newtonian (three-vector) momentum (resp.: {nejnimpetu}, {sirmpetu}); might also encompass angular momentum ({cnampetu}, typically three-vector). See also {nejni}, {nejnimpetu}, {sirmpetu}, {ocnerta}, {tcelerita}, {cnampetu}			2	linear momentum	physics; general	momentum	physics	quantity of movement	physics																																																
impisi	fu'ivla			$x_1$ is a hyena of species $x_2$	See also {krokuta} ("spotted hyena")			2	hyena	carnivoran																																							hyena	carnivoran												
implicite	fu'ivla			$x_1$ is implicit, implied, understood, contained in the nature but not directly expressed or apparent				2																																																						
impofu	fu'ivla			$x_1$ is an eland of species $x_2$				1	eland																																																					
importe	fu'ivla			$x_1$ (entity) imports $x_2$ (entity) to $x_3$ (entity)	See also {eksporte}			1	import																																																					
imposta	fu'ivla			$x_1$ is an impostor, pretender; $x_1$ engages in deception under an assumed name or identity $x_2$.	See {jifkritrazu'e}, {tcica}, {cmene}, {sevzi}			2	impostor		pretender	impostor	imposter		pretend	deceive																																														
impute	fu'ivla			$x_1$ (entity) imputes, ascribes to $x_2$ (entity) an action $x_3$ (event)	See also {sitna}			2	impute		ascribe																																																			
imsa	fu'ivla			$x_1$ is similar to $x_2$ (as a whole, not in a specific aspect).	See also {simsa}.			1																																																						
imxu	fu'ivla			$x_1$ and $x_2$ do $x_3$ (binary ka) to each other.	Equivalent to x1 {ce} x2 {simxu} x3, but useful for some lujvo.			3																																																						
in	cmevla			yin	A Chinese philosophical concept. Cf. {ian}			1	yin																																																					
inaja	cmavo-compound		JA*	logical connective: sentence afterthought conditional/only if.				100000	sentence only if																																																					
inbri	fu'ivla			$x_1$ (proposition) is a clause expressing adverbial relation $x_2$ (property of nonce place, has places for ce'u referring to members of $x_3$) and connecting members of $x_3$ (ordered group)	The first member of $x_3$ is what follows after the adposition expressing adverbial relation $x_2$. The second member of $x_3$ can sometimes be called 'noun phrase of adposition'; it can e.g. be the current clause ({lo} {bridi}), $x_1$ of it, $x_2$ of it etc. See also {bridi}, {sumti}, {sumtcita}.			2	clause expressed via adverbial																																																					
inbrisni	fu'ivla			$x_1$ (text) is a clause with adverbial $x_2$ (text) and connecting members of $x_3$ (ordered group of text)	The first member of $x_3$ is usually called 'complement' or 'argument'; it is what comes after the adposition $x_2$. The second member of $x_3$ can sometimes be called 'noun phrase of adposition'; it can e.g. be the current clause ({lo} {brisni}), $x_1$ of it, $x_2$ of it etc. See also {brisni}, {sumti}, {sumtcita}.			1																																									adposition		complements	of adposition										
incala	fu'ivla			$x_1$ (entity) expresses a wish for a given future event $x_2$ (event) to occur; $x_1$ expresses "god willing" / "deo volente" hope	Usually used in a Muslim country or Islamic context. See also {pacna}, {a'o}			4	inshallah																																																					
inci	fu'ivla			$x_1$ is measured in $x_2$ (default 1) inches (US customary unit)	See {zmaile}, {iarda}, {sfu'utu}, {gutci}			1	inch	unit of measurement																																																				
incipe	fu'ivla			$x_1$ is the beginning/the initial stage/starting/inchoate/coming into existence/first part of $x_2$	See {ultime}, {cfari}, {fasnu}, {pruce}			2	beginning	first part																																																				
inda	fu'ivla			$x_1$ deserves / merits / is worthy of $x_2$ (property of $x_1$)	See also {jerna}.			4	deserve	be worthy of	merit	deserve	worthy	deserve																																																
indice	fu'ivla			$x_1$ (ordered set) is an index of unordered items $x_2$ (set) ordered by rule $x_3$ (proposition)	See also {ce'o}, {ce}, {lidne}			2	index		indices																																																			
indigena	fu'ivla			$x_1$ is indigenous to territory $x_2$				3																																																						
indigo	fu'ivla			$x_1$ is indigo (color)				2																																																						
indika	fu'ivla			$x_1$ (event/state) implies / suggests / is circumstantial evidence for $x_2$ (du'u); the probability that $x_2$ is true, given $x_1$, is greater than the probability without $x_1$	Similar to {nibli}, but merely means circumstantial/forensic, not logical, evidence, that may be contradicted by other circumstantial evidences or interpretations. See also {krinu}, {lakne}, {didni}, {nusna}, {tolna'e}			4	imply	circumstantial evidence	indicate	circumstantial evidence	suggest	circumstantial evidence	evidence	circumstantial																																														
indi'o	fu'ivla			$x_1$ reflects/pertains to the Indian Ocean region/culture/history/geography/identity/[nationality] in aspect $x_2$.	Pertains to peoples or things bordering, embedded in (or on an island in), submerged in, located under or on the bottom of, or going through/over the Indian Ocean as well. "Trans-Indian" (in the sense of pertaining to the Indian Ocean) is closely related to this word. See also: ".{atlanto}", "{pakfiko}".			1	Indian Ocean																																																					
indo	fu'ivla			$x_1$ reflects/pertains to the regions which are approximated by the Indian subcontinent, or cultures vel sim. thereof, in aspect $x_2$.	This does not necessarily recognize political divisions or inclusions of such region. Can be used in a human-historical context. The Indian Ocean may be included in this designation.			2	Indian	Indian subcontinent																																																				
infakta	fu'ivla			$x_1$ is an infarction of type $x_2$				2	infarction																																																					
infarto	fu'ivla			$x_1$ is an infarct, an area of dead tissue caused by a loss of blood supply, a localized necrosis				3	infarct																																																					
infernus	cmevla			Infernus				1	Hell	Roman Catholic Church																																																				
infeste	fu'ivla			$x_1$ (plural) infests, inhabits $x_2$ in unpleasantly large numbers	See also {zdani}, {xabju}			1	infest																																								infested													
inflamati	fu'ivla			$x_1$ is an inflammation experienced by/in body(-part) $x_2$ of type/characterised by $x_3$; $x_1$ is a medical condition of $x_2$ (part of body), consisting in congestion of the blood vessels, with obstruction of the blood current, and growth of morbid tissue; $x_2$ [if it is a body part rather than a whole person/organism] is inflamed	Might be manifested outwardly by redness, stiffness (especially in joints), tenderness or painfulness, and swelling and/or attended with heat and pain. See also {bilma}, {xunre}, {blaci}.			3	inflammation	medical																																																				
inflenza	fu'ivla			$x_1$ is an influenza, grippe, flu				2	influenza																																																					
influ'enza	fu'ivla			$x_1$ is an influenza, grippe, flu				1	influenza		grippe		flu																																																	
info	fu'ivla			$x_1$ is information about $x_2$ gathered by method $x_3$				1																																																						
infuje	fu'ivla			$x_1$ (loi; result) is a quantity of a herbal infusion meant for consumption, from sources/herbs $x_2$ (list of primary ingredients), extracted and introduced to substrate liquid by process $x_3$ (default: steeping or soaking), introduced to substrate $x_4$ (default: liquid water).	"Herb" is rather general, as is "consumption". Tea, coffee, original hot chocolate, herbal/false teas, some medicines, sassafrass or root beers, etc. count. Typically, blood transfusion or other solutions introduced by intravenous means is outside the scope of this word, but there may be exceptions. See also: {tcati}, {ckafi}.			1	infusion		herbal tea		tea	herbal																																																
inglico	fu'ivla			$x_1$ is English/pertains to English-speaking culture in aspect $x_2$.	Generally assume broadest sense of 'English'; may refer to 'English', pertaining to the country/people/culture of England (normally requiring constraint = {inglicygu'e}); British English, the norm language of the UK (= {inglicybau}). This word is part of a movement to supplant cultural gismu.			1	English	culture																																																				
ingoma	fu'ivla			$x_1$ is an ingoma, a drum covered with a membrane of animal skin.				3																																																						
ingulule	fu'ivla			$x_1$ is a cheetah (Acinonyx jubatus) of breed $x_2$	See also {bramlatu}			1	cheetah	A large cat of the genus and species Acinonyx jubatus																																																				
inka	fu'ivla			$x_1$ causes $x_2$.				1																																																						
inkapre	fu'ivla			$x_1$ is an Inca person.				1																																																						
inkara'a	fu'ivla			$x_1$ pertains to Inka culture.				1																																																						
inku	fu'ivla			$x_1$ is a vaccine.				1																																																						
inmago	fu'ivla			$x_1$ is an organism $x_2$ at its imago stage of development	Usually next after {larva} stage.			2	imago	stage of development																																																				
inmo	fu'ivla			$x_1$ feels the emotions/cognitive [psychological] phenomena expressed by indicators $x_2$ (text) about $x_3$	See also {cinmo}.			2																																																						
inmune	fu'ivla			$x_1$ is immune to pathogenic action $x_2$ (property of $x_1$) towards it by showing $x_3$ (property of $x_1$) 	See also {spuda}, {bilma}, {jurme}, {vidru}, {bandu}	SPUDA_GIRZU		1	immune	biology																																																				
inpociburu	fu'ivla			$x_1$ (event / state / property) is impossible under conditions $x_2$	See also {na} {cumki}.			2	impossible																																																					
insmu	fu'ivla			$x_1$ is the literal meaning of $x_2$ seen by $x_3$	Shortening of {pe'arnainsmu}.			2	literal meaning																																																					
insomni	fu'ivla			$x_1$ is insomnia, a sleeping disorder with symptoms of unrest and the inability to sleep	See also {bilma}, {sipna}			1	insomnia																																																					
inspekte	fu'ivla			$x_1$ checks, inspects $x_2$ for $x_3$ (property of $x_2$)	See {cipra}, {zgana}, {pajni}			2	to inspect		to check																																																			
instagrama	fu'ivla			$x_1$ (entity) is an Instagram photo/record of $x_2$ (entity) done by $x_3$ (entity) and preserved in page/place $x_4$ (entity)	See also {pixra}, {vidvi}.			2																																																						
instale	fu'ivla			$x_1$ (entity) connects, sets up $x_2$ (entity) onto $x_3$ (entity)	See also {punji}, {setca}, {pilno}			2	install																																																					
integrale	fu'ivla			$x_1$ (number) is the integral (limit) of function $x_2$	See also {fancu}.			1	integral	mathematical limit																																																				
intele	fu'ivla			$x_1$ is an intellect of bearer $x_2$	the realized capacity of thinking, judging, abstract reasoning, and conceptual understanding; the cognitive capacity. See also {menli}, {besna}, {morji}, {mucti}, {pensi}, {sanji}, {xanri}, {sevzi}, {xadni}			2	intellect	capacity of thinking																																																				
interlinga	fu'ivla			$x_1$ pertains to Interlingua language in aspect $x_2$				1	Interlingua																																																					
INternet	cmevla			Internet	Cf. {mujysamseltcana}.			1	Internet																																								Internet													
internet	cmevla			Internet	Cf. {mujysamseltcana}.			1	Internet		cyberspace																																																			
interviiu	fu'ivla			$x_1$ interviews $x_2$ with questions $x_3$				1	interview																																								interviewer		interviewee		interview questions									
intima	fu'ivla			$x_1$ (event) is intimate, having or fostering a warm or friendly and informal atmosphere				1																																																						
intona	fu'ivla			$x_1$ is a sound with musical intonation $x_2$; $x_1$ is recited as a chant or a psalm				1																																																						
intranet	cmevla			Intranet	Cf. {kagysamseltcana}.			1	Intranet																																																					
intro	fu'ivla			$x_1$ (event / object / document) is an introduction to $x_2$ in aspect $x_3$ (relation of $x_1$ and $x_2$)	Every $x_2$ can have more than one introduction. See also {ni'o}			2	introduction																																																					
intuksu	fu'ivla			$x_1$ is an inuksuk/inunnguaq/Eskimo (Inuit) or generic ersatz person sculpture in location $x_2$ with style/properties $x_3$				2																																																						
inxo	fu'ivla			$x_1$ starts/begins to satisfy property $x_2$; $x_1$ becomes such that they satisfy property $x_2$.				2	become																																																					
i'o	cmavo		UI1	attitudinal: appreciation - envy.	See also {ckire}, {jilra}.			100000	appreciation																																																					
io	cmavo		UI1	attitudinal: respect - disrespect.	See also {sinma}.			100000	respect																																																					
iocka	fu'ivla			$x_1$ is a matryoshka, Russian nesting/nested doll, babushka doll	See also {fraktali}			1	matryoshka																																																					
iocre	fu'ivla			$x_1$ is a Dr./Prof. (honorific for achieving a certain level of education or knowledge in field $x_2$), recognized by $x_3$	See {iolpe}, {iolna}, {iolni}, {iospe}, {iosna}, {iosni}, {iocre}, {mikce}, {profesore}			2	Dr	educational honorific	Prof	educational honorific																																																		
iodle	fu'ivla			$x_1$ yodels $x_2$ (song)	See {sanga}, {cusku}, {krixa}			2	to yodel																																								to yodel		yodeling song											
io'e	experimental cmavo			attitudinal: feeling grounded - feeling spacy	{io'e}{nai} could mean: dissociating, depersonalization, tripping, having an out-of-body experience. {io'e} could mean: feeling in touch with one's senses, and maybe feeling in touch with the rest of the world through them.			3																																																						
i'oi	experimental cmavo		IhOI	modify preceding cmavo to not cross bridi; require its terminator by the next «i».	Convenience utility to limit the cmavo before {i'oi} to automatically terminate on the next .{i}.  Useful for {fu'e} and {lu} limited to the current bridi.  Note: if already terminated explicitly, {i'oi} adds no effect.  Example: «.i mi cusku lu .i'oisa'a mi nelci lonu na pilno lo valsi poi marbartu ku'o pu lonu bazycuxlanli ri».  See also: {i'oi'a} (effectively merge to outer block), {i'oi'a'o} (generalization of {i'oi}).			1																																																						
i'oi'a	experimental cmavo		IhOIhA	merge block until (elidable) terminator; make the terminator for the preceding cmavo duplicated.	Analogous to Haskell GHC NondecreasingIndentation, for Lojban.  {i'oi'a} is like {i'oi}, but instead of attaching to the next {i}, attaches to the next terminator that corresponds to the preceding cmavo (which doesn't have to be explicitly present in the text; it can be an implied, elided terminator).  E.g.  «.i fu'e .i'oi'a .ui» makes {ui} last until the end of the current {fu'e}…{fu'o} block, without adding a new {fu'e}…{fu'o} block and having to add a duplicate terminator.  If you want to start a {fu'e}… block that only lasts until the next {fu'o}, without having to specify {fu'o} twice or more at the end, you can use {i'oi'a}.  This is like modifying the remainder of a block, instead of creating a new sub-block.  Note: «fu'e i'oi'a» is shorthand for «fu'e i'oi'a'o fu'o».  See {i'oi'a'o} for a more general version of this cmavo.  (Technically {i'oi'a} does add a sub-block, but it effectively merges it as though it didn't by making the terminator turn into two terminators.)			1																																																						
i'oi'a'o	experimental cmavo		IhOIhAhO	require preceding cmavo is terminated before the next occurence of the word following; attach an omitted terminator to next …	This is a generalization of {i'oi}, except {i'oi'a'o} takes the word afterwards for attachment (nothing is added if the cmavo is already explicitly terminated before the next occurance of the word); «.i'oi» ＝＝ «.i'oi'a'o .i».  {zo}-like quotation.  Etymology: {i'oi} and {va'o}.  Note: {i'oi'a'o} takes a word afterwards and does not itself support more advanced terminator attachments.  Note: unlike for {lu}..{li'u}, if inside {lo'u}…{le'u}, this word doesn't have an effect from the outside perspective, since the contents of {lo'u} quotes are isolated from the grammar outside except for the terminator {le'u}; thus {i'oi} and {i'oi'a'o} don't work for {lo'u} to auto-add a missing {le'u} on the next {i}, although it's possible to override features of the language such as this with {baunpli} declarations.    ni'o Elided terminators: {i'oi'a'o} attaches to the next word, even if the next word occurence is implied as an elided terminator; it does not only attach to explicitly present word occurences.    ni'o When the word is actually the same as the terminator: Rather than being a no-op, in this case it adds another duplicated terminator.  {i'oi'a} is a variant of {i'oi'a'o} specialized to this case; see {i'oi'a} for more information and to see how this can be useful.  (e.g. «fu'e i'oi'a» ＝＝ «fu'e i'oi'a'o fu'o», and «noi i'oi'a» ＝＝ «noi i'oi'a'o ku'o».)			1																																																						
io'imbe	fu'ivla			$x_1$ is yohimbe of variety $x_2$.				1	yohimbe																																																					
iokais	cmevla			ghost, apparition, phantom, specter, demon, monster, goblin	Japanese "youkai"; cf. {crida}			1																																																						
iolna	fu'ivla			$x_1$ is a Mr./sir (male honorific, unspecified marital status), recognized by $x_2$	See {iolpe}, {iolna}, {iolni}, {iospe}, {iosna}, {iosni}, {iocre}			2	Mr	generic male honorific	sir	generic male honorific																																																		
iolni	fu'ivla			$x_1$ is a Ms./ma'am/madam (female honorific, unspecified marital status), recognized by $x_2$	See {iolpe}, {iolna}, {iolni}, {iospe}, {iosna}, {iosni}, {iocre}			2	Ms	generic female honorific	ma'am	generic female honorific	madam	generic female honorific																																																
iolpe	fu'ivla			$x_1$ is a Mx./Mr./Ms. (honorific, unspecified gender or marital status), recognized by $x_2$	See {iolpe}, {iolna}, {iolni}, {iospe}, {iosna}, {iosni}, {iocre}			2	Mx	generic honorific, unspecified gender or marital status																																																				
i'onai	cmavo-compound		UI*1	attitudinal: appreciation - envy.				100000	envy																																																					
ionai	cmavo-compound		UI*1	attitudinal: respect - disrespect.				100000	disrespect																																																					
