token	jbo	rafsi	en	description	jbo description
dime	dinko	di'o	nail		$x_{1}$ is a nail/tack [pointed driven/frictional fastener] of type/size $x_{2}$ (ka), made of material $x_{3}$.
dixe	dikni	dik	regular		$x_{1}$ is regular/cyclical/periodic in property (ka)/activity $x_{2}$ with period/interval $x_{3}$.
dili	dicra	dir	interrupt		$x_{1}$ (event) interrupts/stops/halts/[disrupts] $x_{2}$ (object/event/process) due to quality $x_{3}$.
dily	ditcu		duration		$x_1$ is the time-duration/interval/period/[elapsed time] of event $x_2$.
dile	dikca	dic	electric	$nの電荷は$a	$x_{1}$ is electricity [electric charge or current] in/on $x_{2}$ of polarity/quantity $x_{3}$ (def. negative).
dise	dirce	di'e	radiate		$x_{1}$ radiates/emits $x_{2}$ under conditions $x_{3}$.
difi	djika		desire		$x_1$ wants to do $x_2$ (property of $x_1$)
dify					
dife					
dihe	ctile		petroleum oil		$x_{1}$ is a quantity of petroleum/oil from source $x_{2}$.
diji	dzipo	zip zi'o	Antarctican		$x_{1}$ reflects Antarctican culture/nationality/geography in aspect $x_{2}$.
dijy	djine	jin	ring		$x_{1}$ is a ring/annulus/torus/circle [shape/form] of material $x_{2}$, inside diam. $x_{3}$, outside diam. $x_{4}$.
dije	dinju	dij di'u	building		$x_{1}$ is a building/edifice for purpose $x_{2}$.
dize	dizlo	diz dzi	low		$x_{1}$ is low/down/downward in frame of reference $x_{2}$ as compared with baseline/standard height $x_{3}$.
divi	divzi		divide		$x_1$ (living cell) divides itself into $x_2$ (full set of the same type as $x_1$)
divy					
dive	dirba	dib	dear		$x_{1}$ is dear/precious/darling to $x_{2}$; $x_{1}$ is emotionally valued by $x_{2}$.
diri	dilcu		quotient		$x_{1}$ is a quotient of '$x_{2}$/$x_{3}$' [dividend $x_{2}$ divided by divisor $x_{3}$], leaving remainder $x_{4}$.
diry	diklo	klo	local regional		$x_{1}$ is local to $x_{2}$; $x_{1}$ is confined to locus $x_{2}$ within range $x_{3}$; $x_{1}$ is regional
dire	dirgo	dig	drop		$x_{1}$ is a drop [small, cohesive shape] of material [liquid/vapor] $x_{2}$ in surrounding material $x_{3}$.
dwga					
dwna	drani	dra	correct		$x_{1}$ is correct/proper/right/perfect in property/aspect $x_{2}$ (ka) in situation $x_{3}$ by standard $x_{4}$.
dwma					
dwxa					
dwla					
dwsa					
dwfa					
dwha					
dwja					
dwza					
dwva					
dwra	drata	dat	other		$x_{1}$ isn't the-same-thing-as/is different-from/other-than $x_{2}$ by standard $x_{3}$; $x_{1}$ is something else.
dugu					
dugo					
dunu	dunda	dud du'a	give	$nは$aを$dへ與ふ	$x_{1}$ [donor] gives/donates gift/present $x_{2}$ to recipient/beneficiary $x_{3}$ [without payment/exchange].
duno	dunja	duj	freeze		$x_{1}$ freezes/jells/solidifies at temperature $x_{2}$ and pressure $x_{3}$.
dumu	dunra	dur	winter	$nは$a (惑星) の冬 (最も寒い季節)	$x_{1}$ is winter/wintertime [cold season] of year $x_{2}$ at location $x_{3}$.
dumo	dunli	dun du'i	equal		$x_{1}$ is equal/congruent to/as much as $x_{2}$ in property/dimension/quantity $x_{3}$.
duxu	dukni		operator with inverses of inputs space with inverse elements		$x_1$ is a binary operator in space/under conditions/on (or endowing) set $x_2$ such that there is an identity element and for any element for which it is defined in the space (excepting possibly a small number of special elements), there exists at least one element also in the space which is a left-inverse of that element under the operator.
duxo	dukti	dut	opposite		$x_{1}$ is polar opposite from/contrary to $x_{2}$ in property/on scale $x_{3}$ (property/si'o).
dusu	dukse	dus du'e	excess		$x_{1}$ is an excess of/too much of $x_{2}$ by standard $x_{3}$.
duso	dutso		clockwise		$x_1$ is clockwise/right-turn-direction of[/to] $x_2$ along/following track $x_3$ [path] in frame of reference $x_4$ (where the axis is within the region defined by the track as the boundary, as viewed from and defined by view(er) $x_4$; see notes); $x_1$ is locally to the right of $x_2$, according to $x_4$, constrained along $x_3$; $x_1$ is along a right turn from $x_2$ along path $x_3$, as viewed in frame $x_4$.
dufo					
duhu	dugri	dug	logarithm		$x_{1}$ is the logarithm of $x_{2}$ with base $x_{3}$.
duho					
duzu	drudi	rud dru	roof		$x_{1}$ is a roof/top/ceiling/lid of $x_{2}$.
duzo	dzuli				$x_1$ is the one that least satisfies property $x_2$ among $x_3$.
duvo					
duru	durna				$x_1$ is a durian/member of genus Durio of species/cultivar $x_2$
duro	jduli	dul jdu	jelly		$x_{1}$ is a quantity of jelly/semisolid [texture] of material/composition including $x_{2}$.
dege					
dega					
deni	denci	den de'i	tooth	$nは齒牙	$x_{1}$ is a/the tooth [body-part] of $x_{2}$; (adjective:) $x_{1}$ is dental.
dene	dinti		intersex non-binary		$x_1$ is a non-binary/intersexed (probably also can include: asexual, nongendered, indeterminately gendered, gender-fluid, transgendered, two-spirited, alternatively gendered, or affirmatively non-binarily gendered or nongendered/graygendered) individual of species $x_2$ evidencing non-binary gender trait(s) $x_3$ (ka); $x_1$ is characterized by not following or fitting into some gender-binary.
denq	didni		deduce deduct	$nは$aを判ずる (推論する, 理性に照らす)	$x_1$ deduces/reasons by deduction/establishes by deduction that $x_2$ is true about $x_3$ from general rule $x_4$
dena	denpa	dep de'a	wait		$x_{1}$ awaits/waits/pauses for/until $x_{2}$ at state $x_{3}$ before starting/continuing $x_{4}$ (activity/process).
demi	denmi	dem	dense	$nは高密度 (密度=大)	$x_{1}$ is dense/concentrated/packed/intense in property $x_{2}$ (ka) at location/locus $x_{3}$.
deme					
demq					
dema	dembi	deb	bean		$x_{1}$ is a bean/pea/leguminous seed from plant [legume] $x_{2}$.
dexe					
dexa	dekpu		gallon		$x_{1}$ is $x_{2}$ (default 1) local volume unit(s) [non-metric; e.g. bushel], standard $x_{3}$, $x_{4}$ subunits.
deli	decti	dec	.1		$x_{1}$ is a tenth [1/10; $10^{-1}$] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).
dele	jdice	jdi	decide		$x_{1}$ (person) decides/makes decision $x_{2}$ (du'u) about matter $x_{3}$ (event/state).
delq					
dela	djica	dji	desire		$x_{1}$ desires/wants/wishes $x_{2}$ (event/state) for purpose $x_{3}$.
dese	desku	des	shake		$x_{1}$ shakes/quakes/trembles/quivers/shudders/wobbles/vibrates from force $x_{2}$.
desa	dekto	dek	10		$x_{1}$ is ten [10; $10^1$ ] of $x_{2}$ in dimension/aspect $x_{3}$ (default is units).
defi					
defe					
defq					
defa					
dehe					
deha					
deji	dejni	dej	owe		$x_{1}$ owes $x_{2}$ in debt/obligation to creditor $x_{3}$ in return for $x_{4}$ [service, loan]; $x_{1}$ is a debtor.
deje	djedi	dje dei	full day	$nは$a (惑星) の日 (自轉周期)	$x_{1}$ is $x_{2}$ full days in duration (default is 1 day) by standard $x_{3}$; (adjective:) $x_{1}$ is diurnal.
dejq	detri	det	date datetime		$x_1$ is the date [day,{week},{month},year] of event/state $x_2$, at location $x_3$, by calendar $x_4$.
deja	degji	deg	finger		$x_{1}$ is a/the finger/digit/toe [body-part] on limb/body site $x_{2}$ of body $x_{3}$; [metaphor: peninsula].
deze	dzena	dze	elder ancestor		$x_{1}$ is an elder/ancestor of $x_{2}$ by bond/tie/degree $x_{3}$; $x_{1}$'s generation precedes $x_{2}$'s parents.
deza					
devi					
deve					
devq					
deva					
deri	derxi	dre	heap		$x_{1}$ is a heap/pile/stack/mound/hill of materials $x_{2}$ at location $x_{3}$.
dere	delno	del de'o	candela		$x_{1}$ is $x_{2}$ candela [metric unit] in luminosity (default is 1) by standard $x_{3}$.
derq	dertu	der de'u	dirt		$x_{1}$ is a quantity of/contains/is made of dirt/soil/earth/ground from source $x_{2}$ of composition $x_{3}$.
dera	delta		change difference		$x_1$ (amount/value (li/ni) or labelled entity) is the (mutual) difference between/change in (states/realizations of/output from) general and relevant idea/object or subject of interest or function/aspect/property/topic/dependent parameter/dependent variable $x_2$ under or due to a change in (independent) parameter/variable/index/identification/ownership/property/aspect $x_3$ (generic name) to (later) specific state/realization/value/person/entity/meaning $x_4$ (type and dimensions match those of $x_3$) from (earlier) specific state/realization/value/person/entity/meaning $x_5$ (type and dimensions match that of $x_3$), under circumstances/conditions/with(in) scope/with caveats $x_6$.
dogu					
dogo					
doga					
donu	donri	dor do'i	daytime	$nは$a (惑星) の晝	$x_{1}$ is the daytime of day $x_{2}$ at location $x_{3}$; (adjective:) $x_{1}$ is diurnal (vs. nocturnal).
dono	dunku	duk du'u	anguish		$x_{1}$ is anguished/distressed/emotionally wrought/stressed by $x_{2}$.
dona	draci		drama		$x_{1}$ is a drama/play about $x_{2}$ [plot/theme/subject] by dramatist $x_{3}$ for audience $x_{4}$ with actors $x_{5}$.
domu					
domo	damko		Danish Denmark		$x_1$ reflects Danish language/culture/nationality in aspect $x_2$
doma	dapma	dap	curse		$x_{1}$ curses/damns/condemns $x_{2}$ to fate (event) $x_{3}$.
doxu					
doxo	dotco	dot do'o	German		$x_{1}$ reflects German/Germanic culture/nationality/language in aspect $x_{2}$.
doxa					
dola	dokcu		document file		$x_1$ is a document containing text (quote/du'u) $x_2$
dosu					
doso					
dosa					
dofo					
dofa			spear	$nは槍 (鋲, 串)	
dohu	djuno	jun ju'o	know	$nは$a (事象, 存在) を知る	$x_{1}$ knows fact(s) $x_{2}$ (du'u) about subject $x_{3}$ by epistemology $x_{4}$.
doho					
doha					
doja	djacu	jac jau	water	$nは水 (H₂O)	$x_{1}$ is made of/contains/is a quantity/expanse of water; (adjective:) $x_{1}$ is aqueous/[aquatic].
dozu	dzuma				$x_1$ is the one that most satisfies property $x_2$ among $x_3$.
dozo	dzoli		recursion recursive		$x_1$ is recursively related to $x_2$ by applying $x_3$ (number) levels-of-recursion of the predicate-relation $x_4$ (ka with two ce'u)
doza					
dovo					
dova					
doru	dulnu		dull blunt		$x_1$ is dull/blunt at locus $x_2$
doro	datro		date dated		$x_1$ (event) is dated/pertaining to day/occurring on day $x_2$ of month $x_3$ of year $x_4$ in calendar $x_5$
dora	dolna		hole		$x_1$ is a (topological) hole in object $x_2$
dagw					
dage					
dago					
daga					
danw	danci		displacement distance		$x_1$ is the spacial interval/geodesic segment (or line segment/ray/line) from location/point $x_2$ to location/point $x_3$ in geometry/frame of reference $x_4$.
dane	dandu	dad	hang		$x_{1}$ hangs/dangles/is suspended from $x_{2}$ by/at/with joint $x_{3}$.
dano	darno	dar da'o	far	$nは$aから遠い (距離=大)	$x_{1}$ is far/distant from $x_{2}$ in property $x_{3}$ (ka).
dana	danti	dan	projectile		$x_{1}$ is a ballistic projectile [e.g. bullet/missile] for firing by [gun/propelling launcher] $x_{2}$.
damw	danre	da'e	pressure press		$x_{1}$ (force) puts pressure on/presses/applies force to $x_{2}$.
dame	damri		drum	$nは打樂器	$x_{1}$ is a drum/cymbal/gong [percussion musical instrument] with beater/actuator $x_{2}$.
damo	danmo	dam	smoke	$nは煙 (氣體中の固體または液體の粒子)	$x_{1}$ is made of/contains/is a quantity of smoke/smog/air pollution from source $x_{2}$.
dama	datni		data		$x_{1}$ (du'u) [fact/measurement] is data/information/statistic(s) about $x_{2}$ gathered by method $x_{3}$.
daxw	dakli		bag sack		$x_{1}$ is a sack/bag with contents $x_{2}$, and of material $x_{3}$.
daxe	darxi	dax da'i	hit strike	$nは$aを打つ (毆る, 蹴る)	$x_{1}$ hits/strikes/[beats] $x_{2}$ with instrument [or body-part] $x_{3}$ at locus $x_{4}$.
daxo	datca		check examine		$x_1$ examines/checks/investigates $x_2$ for $x_3$ (ka/ni)
daxa	datka		duck		$x_{1}$ is a duck/[drake] of species/breed $x_{2}$.
dale	dacti	dai	object	$nは物理的存在物 (物體)	$x_{1}$ is a material object enduring in space-time; $x_{1}$ is a thing.
dala	darca		arrive	$nは終點 (到達點) $aへ往く	$x_1$ arrives at $x_2$ via route $x_3$
dasw	dansu		dance	$nは$a (振り付け) を踊る	$x_{1}$ (individual, mass) dances to accompaniment/music/rhythm $x_{2}$.
dase	daski		pocket		$x_{1}$ is a pocket/pouch of/in garment/item $x_{2}$.
daso	darsi		audacity		$x_{1}$ shows audacity/chutzpah in behavior $x_{2}$ (event/activity); $x_{1}$ dares to do/be $x_{2}$ (event/ka).
dasa	dasri	sri	ribbon		$x_{1}$ is a ribbon/tape/strip/band/stripe of material $x_{2}$.
dafw	dakfu	dak	knife	$nは刃 (刀, 剣, 庖丁)	$x_{1}$ is a knife (tool) for cutting $x_{2}$, with blade of material $x_{3}$.
dafe	daspo	spo	destroy		$x_{1}$ (event) destroys/ruins/wrecks/despoils $x_{2}$; $x_{1}$ is destructive.
dafo	daplu	plu	island	$nは島	$x_{1}$ is an island/atoll/key of [material/properties] $x_{2}$ in surroundings/body $x_{3}$; $x_{1}$ is insular.
dafa	danfu	daf	answer	$nはを$aを$dへ答ふ	$x_{1}$ is the answer/response/solution/[reply] to question/problem $x_{2}$.
dahw	dargu	dag	road		$x_{1}$ is a road/highway to $x_{2}$ from $x_{3}$ with route $x_{4}$ ($x_{2}$/$x_{3}$ may be unordered).
dahe					
daho					
daha	dajbu		okay alright		$x_1$ is okay/alright/acceptable to $x_2$ by standard $x_3$
daje	dajne		careful cautious		$x_1$ is careful/cautious in $x_2$ (ka)
daja	darlu	dau	argue		$x_{1}$ argues for stand $x_{2}$ against stand $x_{3}$; [an opponent is not necessary].
dazw	dasni	das	wear		$x_{1}$ wears/is robed/garbed in $x_{2}$ as a garment of type $x_{3}$.
daze					
dazo	dadjo	daj	Taoist		$x_{1}$ pertains to the Taoist culture/ethos/religion in aspect $x_{2}$.
daza	dzama		chore errand		$x1$ performs chore / menial duty / housework / errand $x2$ (nu/ka) for purpose / as obliged by $x3$.
davw					
dave					
davo					
dava	damba	dab da'a	fight struggle		$x_{1}$ fights/combats/struggles with $x_{2}$ over issue $x_{3}$ (abstract); $x_{1}$ is a fighter/combatant.
darw	danlu	dal da'u	animal		$x_{1}$ is an animal/creature of species $x_{2}$; $x_{1}$ is biologically animate.
dare	dacru	dac	drawer		$x_{1}$ is a drawer/file in structure $x_{2}$, a [sliding compartment] container for contents $x_{3}$.
daro	dalti				$x_1$ belongs to a species domesticated by $x_2$.
dara	dardu				$x_1$ is the standard by which $x_2$ (abstraction) is true
bige					
bini	bilni	bil	military		$x_{1}$ is military/regimented/is strongly organized/prepared by system $x_{2}$ for purpose $x_{3}$.
biny	bindo	bid	Indonesian		$x_{1}$ reflects Indonesian culture/nationality/language in aspect $x_{2}$.
bine	binma				$x_1$ betrays $x_2$ (person, custom) with treacherous deeds $x_3$ (event/property).
bimi	bitmu	bim bi'u	wall		$x_{1}$ is a wall/fence separating $x_{2}$ and $x_{3}$ (unordered) of/in structure $x_{4}$.
bimy	bilma	bi'a	ill	$nは病む (故障する)	$x_{1}$ is ill/sick/diseased with symptoms $x_{2}$ from disease $x_{3}$.
bime	bitni		bit shannon		$x_1$ is measured in $x_2$ (number, default 1) bits/shannons (unit of data/information) of logarithmic base $x_3$ (default 2)
bixe	binxo	bix bi'o	become		$x_{1}$ becomes/changes/converts/transforms into $x_{2}$ under conditions $x_{3}$.
bili	bitco		beetle		$x1$ is a beetle of species/variety $x2$
bily					
bile	birco		clean shaven person clean shaven person apart from moustache		$x_1$'s face is completely cleansed of facial hair apart from $x_2$.
bise	birti	bit	certain		$x_{1}$ is certain/sure/positive/convinced that $x_{2}$ is true.
bifi	bisli	bis	ice		$x_{1}$ is a quantity of/is made of/contains ice [frozen crystal] of composition/material $x_{2}$.
bify	bliku	bli	block		$x_{1}$ is a block [3-dimensional shape/form] of material $x_{2}$, surfaces/sides $x_{3}$.
bife	bifce	bic	bee	$nは蜂	$x_{1}$ is a bee/wasp/hornet of species/breed $x_{2}$.
bihe					
biji	binra		insure		$x_{1}$ insures/indemnifies $x_{2}$ (person) against peril $x_{3}$ (event) providing benefit(s) $x_{4}$ (event).
bijy	birje		beer		$x_{1}$ is made of/contains/is an amount of beer/ale/brew brewed from $x_{2}$.
bije	bidju		bead		$x_{1}$ is a bead/pebble [shape/form] of material $x_{2}$.
bize	bridi	bri	predicate	$nは動詞	$x_{1}$ (du'u) is a predicate relationship with relation $x_{2}$ among arguments (sequence/set) $x_{3}$.
bivi	brivo		predicate word		$x_1$ is a predicate word defined as such by its word shape, signifying relation $x_2$ (n-ary property) in language $x_3$
bivy					
bive					
biri	bikla	bik	whip		$x_{1}$ whips/lashes/snaps [a sudden violent motion].
biry	bilga	big	obliged must		$x_{1}$ is bound/obliged to/has the duty to do/be $x_{2}$ in/by standard/agreement $x_{3}$; $x_{1}$ must do $x_{2}$.
bire	birka	bir	arm	$nは腕	$x_{1}$ is a/the arm [body-part] of $x_{2}$; [metaphor: branch with strength].
byni	briju	bij	office		$x_{1}$ is an office/bureau/work-place of worker $x_{2}$ at location $x_{3}$.
bymi					
byli					
byfi					
byji	blina		blind		$x_1$ is blind under condition $x_2$
byvi					
byri	brife	bif bi'e	breeze wind		$x_{1}$ is a breeze/wind/gale from direction $x_{2}$ with speed $x_{3}$; $x_{1}$ blows from $x_{2}$.
bwga					
bwna	badna		banana plantain		$x_{1}$ is a banana/plantain [fruit/plant] of species/breed $x_{2}$.
bwma	bradi		enemy	$nは$aの敵	$x_{1}$ is an enemy/opponent/adversary/foe of $x_{2}$ in struggle $x_{3}$.
bwxa					
bwla					
bwsa					
bwfa					
bwha					
bwja	blabi	lab	white	$nは白い (明度=最大)	$x_{1}$ is white/very-light colored [color adjective].
bwza					
bwva					
bwra	brazo	raz	Brazilian		$x_{1}$ reflects Brazilian culture/nationality/language in aspect $x_{2}$.
bugu			accusative	$nは對格	
bugo					
bunu	bunxa				$x_1$ is a $x_2$osity, a $x_2$onger, an absolute $x_2$ I tell you (augmentative)
buno	burna		embarrassed		$x_{1}$ is embarrassed/disconcerted/flustered/ill-at-ease about/under conditions $x_{2}$ (abstraction).
bumu	bumru	bum	fog	$nは霧	$x_{1}$ is foggy/misty/covered by a fog/mist/vapor of liquid $x_{2}$.
bumo	bruna	bun bu'a	brother		$x_{1}$ is brother of/fraternal to $x_{2}$ by bond/tie/standard/parent(s) $x_{3}$; [not necess. biological].
buxu	bukpu	buk bu'u	cloth		$x_{1}$ is an amount of cloth/fabric of type/material $x_{2}$.
buxo					
busu	sruri	rur sru	surround		$x_{1}$ encircles/encloses/is surrounding $x_{2}$ in direction(s)/dimension(s)/plane $x_{3}$.
buso					
bufo					
buhu	bruci		brooch button		$x_1$ is a button/brooch/fibula (fastener) of material $x_2$
buho	budjo	buj bu'o	Buddhist		$x_{1}$ pertains to the Buddhist culture/religion/ethos in aspect $x_{2}$.
buzu	bunda	bud	pound		$x_{1}$ is $x_{2}$ (def. 1) local weight unit(s) [non-metric], standard $x_{3}$, subunits [e.g. ounces] $x_{4}$.
buzo					
buvo					
buru	burcu	bru	brush		$x_{1}$ is a brush for purpose $x_{2}$ (event) with bristles $x_{3}$.
buro	bunre	bur bu'e	brown		$x_{1}$ is brown/tan [color adjective].
bege					
bega					
beni	bende	bed be'e	band club		$x_{1}$ is a crew/team/gang/squad/band of persons $x_{2}$ directed/led by $x_{3}$ organized for purpose $x_{4}$.
bene	bebna	beb	foolish		$x_{1}$ is foolish/silly in event/action/property [folly] (ka) $x_{2}$; $x_{1}$ is a fool.
benq	bengo	beg	Bengali		$x_{1}$ reflects Bengali/Bangladesh culture/nationality/language in aspect $x_{2}$.
bena	besna	ben	brain		$x_{1}$ is a/the brain [body-part] of $x_{2}$; [metaphor: intelligence, mental control].
bemi	bamri		buy		$x_1$ buys $x_2$ from $x_3$ for price $x_4$
beme					
bemq					
bema	jbena	jbe	born		$x_{1}$ is born to $x_{2}$ at time $x_{3}$ [birthday] and place $x_{4}$ [birthplace]; $x_{1}$ is native to (fo) $x_{4}$.
bexe					
bexa					
beli	batci	bat	bite	$nは$aを嚙む	$x_{1}$ bites/pinches $x_{2}$ on/at specific locus $x_{3}$ with $x_{4}$.
bele	blaci		glass		$x_{1}$ is a quantity of/is made of/contains glass of composition including $x_{2}$.
belq					
bela					
bese	besto				$x_1$ dons metaphorical asbestos suit $x_2$ to guard against flames $x_3$ on topic $x_4$ from $x_5$, who disagrees with post $x_6$ for reason $x_7$, not realizing that the post was meant to be sent to $x_8$ rather than all of mailing list $x_9$ (default jboste) where it was posted in response to email $x_{10}$, whose author wishes selma'o $x_{11}$ (default SE) were extended to concisely express place $x_{12}$ of brivla $x_{13}$ (default besto) which has place structure $x_{14}$ and too many places because of sadistic whim $x_{15}$ of brivla-maker $x_{16}$, who also created brivla $x_{17}$ which has place structure $x_{18}$, and so winds up using too many of cmavo $x_{19}$ (default zi'o) in order to make the brivla ( $x_{13}$) more usable by standard $x_{20}$ and wishes they had never heard of the word besto for reason $x_{21}$, not realizing for reason $x_{22}$ that it was suggested sarcastically due to boredom $x_{23}$ of person $x_{24}$, who is proposing it against better judgement $x_{25}$ because it is fun by standard $x_{26}$, but still wishes it had as many places as $x_{27}$ (default du) for reason $x_{28}$, and feels like throwing in epistemology sumti $x_{29}$, because he/she knows both that gismu $x_{30}$ (default besto) has its place structure defined by run-on sentence $x_{31}$ and that epistemology sumti are used in gismu $x_{32}$ by epistemology $x_{33}$, notwithstanding the fact that $x_{34}$ actually has a use for besto places $x_{35}$ (default 1) through $x_{36}$ (default $x_7$) and wishes this weren't an extremely long and stupid joke, longer than joke $x_{37}$ and stupider than joke $x_{38}$ but still appreciated by $x_{39}$ - a fact which says $x_{40}$ about them in the opinion of $x_{41}$ - but not seen as even remotely amusing by $x_{42}$, who is aware that $x_{43}$ has a use for the gismu besto because of $x_{45}$
besa	bersa	bes be'a	son		$x_{1}$ is a son of mother/father/parents $x_{2}$ [not necessarily biological].
befi	bekpi	bek	back of the body dorsum		$x_1$ is the 'back', dorsum of body $x_2$
befe					
befq					
befa	betfu	bef be'u	abdomen	$nは胃	$x_{1}$ is a/the abdomen/belly/lower trunk [body-part] of $x_{2}$; [metaphor: midsection].
behe					
beha					
beji	benji	bej be'i	send transfer		$x_{1}$ transfers/sends/transmits $x_{2}$ to receiver $x_{3}$ from transmitter/origin $x_{4}$ via means/medium $x_{5}$.
beje					
bejq					
beja	betri	bet	tragedy		$x_{1}$ is a tragedy/disaster/tragic for $x_{2}$.
beze					
beza					
bevi	bevri	bev bei	carry		$x_{1}$ carries/hauls/bears/transports cargo $x_{2}$ to $x_{3}$ from $x_{4}$ over path $x_{5}$; $x_{1}$ is a carrier/[porter].
beve					
bevq					
beva					
beri	bergu		bear goo		$x_1$ pertains to bear goo metaphysics in aspect $x_2$
bere	benre		beneficiary		$x_1$ is the "beneficiary"/intended-recipient of $x_2$ (event/action), as intended by $x_3$ // $x_2$ is done for $x_1$
berq	berti	ber	north	$nは$aより北 (反時計回りする極點) へ近い	$x_{1}$ is to the north/northern side [right-hand-rule pole] of $x_{2}$ according to frame of reference $x_{3}$.
bera	bemro	bem be'o	North American		$x_{1}$ reflects North American culture/nationality/geography in aspect $x_{2}$.
bqge					
bqne					
bqme			nominative	$nは主格	
bqxe					
bqle					
bqse					
bqfe					
bqhe					
bqje	brito	rit	British		$x_{1}$ reflects British/United Kingdom culture/nationality in aspect $x_{2}$.
bqze					
bqve					
bqre	bredi	red bre	ready		$x_{1}$ is ready/prepared for $x_{2}$ (event).
bogu					
bogo					
boga					
bonu	bongu	bog bo'u	bone	$nは骨	$x_{1}$ is a/the bone/ivory [body-part], performing function $x_{2}$ in body of $x_{3}$; [metaphor: calcium].
bono	bloti	lot blo lo'i	boat	$nは舟	$x_{1}$ is a boat/ship/vessel [vehicle] for carrying $x_{2}$, propelled by $x_{3}$.
bona	bonta		mint		$x_1$ is mint of species/cultivar/variety $x_2$
bomu	blanu	bla	blue	$nは青い	$x_{1}$ is blue [color adjective].
bomo	blolo				$x_1$ is a pineapple/member of genus Ananas of species/variety $x_2$
boma	broda	rod	predicate var 1		1st assignable variable predicate (context determines place structure).
boxu					
boxo	boxfo	bof bo'o	sheet		$x_{1}$ is a sheet/foil/blanket [2-dimensional shape/form flexible in 3 dimensions] of material $x_{2}$.
boxa	boxna	bon bo'a	wave	$n (媒體) の波は$a (形狀) を成す	$x_{1}$ is a wave [periodic pattern] in medium $x_{2}$, wave-form $x_{3}$, wave-length $x_{4}$, frequency $x_{5}$.
bola					
bosu	bratu		hail	$nは雹	$x_{1}$ is hail/sleet/freezing rain/solid precipitation of material/composition including $x_{2}$.
boso					
bosa	boske		forest		$x_1$ is a forest of components $x_2$
bofo					
bofa	botpi	bot bo'i	bottle		$x_{1}$ is a bottle/jar/urn/flask/closable container for $x_{2}$, made of material $x_{3}$ with lid $x_{4}$.
bohu					
boho					
boha					
boja	brodi		predicate var 3		3rd assignable variable predicate (context determines place structure).
bozu	brodu		predicate var 5		5th assignable variable predicate (context determines place structure).
bozo	brodo		predicate var 4		4th assignable variable predicate (context determines place structure).
boza	brode	bo'e	predicate var 2		2nd assignable variable predicate (context determines place structure).
bovo					
bova					
boru	balre	ba'e	blade		$x_{1}$ is a blade of tool/weapon $x_{2}$.
boro	bolci	bol boi	ball		$x_{1}$ is a ball/sphere/orb/globe [shape/form] of material $x_{2}$; $x_{1}$ is a spherical object [made of $x_{2}$].
bora	borma		storm		$x_1$ is a storm in/at $x_2$
bagw					
bage					
bago					
baga					
banw	bakni	bak	bovine	$nは牛 (牛族)	$x_{1}$ is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed $x_{2}$.
bane	bangu	ban bau	language		$x_{1}$ is a/the language/dialect used by $x_{2}$ to express/communicate $x_{3}$ (si'o/du'u, not quote).
bano	banro	ba'o	grow		$x_{1}$ grows/expands [an increasing development] to size/into form $x_{2}$ from $x_{3}$.
bana	bandu	bad	defend protect		$x_{1}$ (event) defends/protects $x_{2}$ (object/state) from threat/peril/potential $x_{3}$ (event).
bamw	banli	bal ba'i	great		$x_{1}$ is great/grand in property $x_{2}$ (ka) by standard $x_{3}$.
bame	barna	ba'a	mark spot		$x_{1}$(s) is a/are mark(s)/spot(s) on $x_{2}$ of material $x_{3}$.
bamo	bambu		bamboo		$x_1$ is a bamboo (Bambuseae) of genus/species $x_2$.
bama	bavmi		barley		$x_{1}$ is a quantity of barley [grain] of species/strain $x_{2}$.
baxw	bancu	bac	is beyond		$x_{1}$ exceeds/is beyond limit/boundary $x_{2}$ from $x_{3}$ in property/amount $x_{4}$ (ka/ni).
baxe	batke		button		$x_{1}$ is a button/knob/[handle] on/for item $x_{2}$, with purpose $x_{3}$, made of material $x_{4}$.
baxo	baktu		bucket		$x_{1}$ is a bucket/pail/can/deep, solid, wide-topped container of contents $x_{2}$, made of material $x_{3}$.
baxa	banxa	bax	bank		$x_{1}$ is a bank owned by/in banking system $x_{2}$ for banking function(s) $x_{3}$ (event).
bale	bacru	ba'u	utter		$x_{1}$ utters verbally/says/phonates/speaks [vocally makes sound] $x_{2}$.
bala	backi		complete total		$x_1$ is characterized by $x_2$ (ka) emphasized by $x_3$
basw	basna		emphasize		$x_{1}$ emphasizes/accentuates/gives emphasis/stress/accent to $x_{2}$ by (action) $x_{3}$.
base	basti	bas	replace		$x_{1}$ replaces/substitutes for/instead of $x_{2}$ in circumstance $x_{3}$; $x_{1}$ is a replacement/substitute.
baso	baxso		Malay-Indonesian		$x_{1}$ reflects Malay-Indonesian common language/culture in aspect $x_{2}$.
basa	baslu		slug		$x_1$ is a slug of species/variety $x_2$
bafw	banfi		amphibian	$nは兩棲綱に屬する	$x_{1}$ is an amphibian of species/breed $x_{2}$.
bafe	bapli	bap bai	effective force	$nは力	$x_{1}$ [force] (ka) forces/compels event $x_{2}$ to occur; $x_{1}$ determines property $x_{2}$ to manifest.
bafo	bakfu	baf	bundle		$x_{1}$ is a bundle/package/cluster/clump/pack [shape/form] containing $x_{2}$, held together by $x_{3}$.
