token	jbo	en	date	class	description	jbo description
tejq	tricu	tree	2024-08-19	verb	$nは木本植物	$x_{1}$ is a tree of species/cultivar $x_{2}$.
tere	terpa	fear	2024-09-10	verb	$nは$aを恐れる	$x_{1}$ fears $x_{2}$; $x_{1}$ is afraid/scared/frightened by/fearful of $x_{2}$ (event/tu'a object).
terq	terdi	earth	2024-02-13	verb	$nは惑星 (地球)	$x_{1}$ is the Earth/the home planet of race $x_{2}$; (adjective:) $x_{1}$ is terrestrial/earthbound.
tono	tunlo	swallow	2024-08-24	verb	$nは$aを嚥下する	$x_{1}$ gulps/swallows.
toma	tumla	land	2024-02-13	verb	$nは陸地	$x_{1}$ is a parcel/expanse of land at location $x_{2}$; $x_{1}$ is terrain.
tozu	tordu	short	2024-09-26	verb	$nは短い (長さ=小)	$x_{1}$ is short in dimension/direction $x_{2}$ (default longest dimension) by measurement standard $x_{3}$.
tora	toldi	butterfly	2026-05-13	verb	$nは蝶 (蛾)	$x_{1}$ is a butterfly/moth of species/breed $x_{2}$.
tamw	tabra	trumpet	2026-05-13	verb	$nは金管樂器	$x_{1}$ is a horn/trumpet/trombone/bugle [brass-wind/lip-reed musical instrument].
tale	tance	tongue	2024-02-13	verb	$nは舌	$x_{1}$ is a/the tongue [body-part] of $x_{2}$; (metaphor: similar to nazbi, tamji, degji).
tava	tavla	speak	2024-06-14	verb	$nは$a (言語, 規約) で話す (交信する)	$x_{1}$ talks/speaks to $x_{2}$ about subject $x_{3}$ in language $x_{4}$.
tarw	tatru	breast	2024-09-22	verb	$nは胸	$x_{1}$ is a/the breast/mammary/teat [body-part] of $x_{2}$; [metaphor: projection providing liquid].
pini	pilno	use	2024-06-14	verb	$nは$a (道具) を使ふ	$x_1$ uses/employs $x_2$ [tool, apparatus, machine, agent, acting entity, material] for purpose $x_3$.
pife	plipe	leap	2024-07-28	verb	$nは$aを跳躍する	$x_{1}$ (agent/object) leaps/jumps/springs/bounds to $x_{2}$ from $x_{3}$ reaching height $x_{4}$ propelled by $x_{5}$.
piji	pinji	penis	2024-09-22	verb	$nは陰莖 (陰核)	$x_{1}$ is a/the clitoris/penis [projecting reproductive organ; body-part] of $x_{2}$.
pymi	plasimi	plasm	2024-07-15	verb	$nは電漿	
pyji	pritu	right	2025-02-07	verb	$nは$aの右に有る	$x_{1}$ is to the right/right-hand side of $x_{2}$ which faces/in-frame-of-reference $x_{3}$.
pwna	prami	love	2024-09-10	verb	$nは$aを愛する (を戀ふ)	$x_{1}$ loves/feels strong affectionate devotion towards $x_{2}$ (object/state).
puru	purci	before	2024-02-13	verb	$nは$aの過去に有る (時間方向で小さい)	$x_{1}$ is in the past of/earlier than/before $x_{2}$ in time sequence; $x_{1}$ is former; $x_{2}$ is latter.
penq	pendo	friend	2026-05-12	verb	$nは$aの友	$x_{1}$ is/acts as a friend of/to $x_{2}$ (experiencer); $x_{2}$ befriends $x_{1}$.
pena	pensi	think	2024-02-13	verb	$nは$aを考ふ (思ふ)	$x_{1}$ thinks/considers/cogitates/reasons/is pensive about/reflects upon subject/concept $x_{2}$.
peme	speni	counter	2024-06-14	verb	$nは$aを補完する (の雙對)	$x_{1}$ is married to $x_{2}$; $x_{1}$ is a spouse of $x_{2}$ under law/custom/tradition/system/convention $x_{3}$.
pelq	pencu	touch	2024-02-13	verb	$nは$a (力) を觸覺する	$x_{1}$ (agent) touches $x_{2}$ with $x_{3}$ [a locus on $x_{1}$ or an instrument] at $x_{4}$ [a locus on $x_{2}$].
peze	pezli	leaf	2024-09-02	verb	$nは葉	$x_{1}$ is a leaf of plant $x_{2}$; $x_{1}$ is foliage of $x_{2}$.
pera	pelxu	yellow	2024-02-13	verb	$nは黃色を呈する	$x_{1}$ is yellow/golden [color adjective].
pqne	prenu	person	2024-02-13	verb	$nは人間 (個人, 市民, 權利享有主體)	$x_{1}$ is a person/people (noun) [not necessarily human]; $x_{1}$ displays personality/a persona.
pqxe		serene	2024-09-10	verb	$nは$aに平穩 (冷靜)	
pono	ponse	have	2024-08-19	verb	$nは$aを有する (保持する)	$x_{1}$ possesses/owns/has $x_{2}$ under law/custom $x_{3}$; $x_{1}$ is owner/proprietor of $x_{2}$ under $x_{3}$.
poru	porpi	break	2024-06-14	verb	$nは$aを$d (部品) へ壞す (分解する)	$x_{1}$ breaks/fractures/shatters/[splits/splinters/cracks] into pieces $x_{2}$.
panw	panra	parallel	2026-05-12	verb	$nは$aに對して平行	$x_{1}$ parallels $x_{2}$ differing only in property $x_{3}$ (ka; jo'u/fa'u term) by standard/geometry $x_{4}$.
pamo	pagbu	part	2024-08-06	verb	$nは全體$aの部分	$x_{1}$ is a part/component/piece/portion/segment of $x_{2}$ [where $x_{2}$ is a whole/mass]; $x_{2}$ is partly $x_{1}$.
paxe	palci	bad	2024-08-02	verb	$nは邪惡	$x_{1}$ is evil/depraved/wicked [morally bad] by standard $x_{2}$.
pafo	palta	dish	2024-12-23	verb	$nは器 (皿, 碗, 盆, 杯, 壺, 瓶, 罐)	$x_{1}$ is a plate/dish/platter/saucer [flat/mildly concave food service bed] made of material $x_{2}$.
pahe	pagre	pass	2024-08-26	verb	$nは通過點 (途中, 媒體) $aを通る	$x_{1}$ passes through/penetrates barrier/medium/portal $x_{2}$ to destination side $x_{3}$ from origin side $x_{4}$.
xwma	cmana	hill	2024-02-13	verb	$nは山 (丘)	$x_{1}$ is a mountain/hill/mound/[rise]/[peak]/[summit]/[highlands] projecting from land mass $x_{2}$.
xwfa		mosquito	2026-05-13	verb	$nは蚊	
xwja	xrani	harm	2024-08-19	verb	$nは$aを害する (傷附ける)	$x_{1}$ (event) injures/harms/damages victim $x_{2}$ in property $x_{3}$ (ka) resulting in injury $x_{4}$ (state).
xugo	xrula	flower	2024-09-02	verb	$nは花	$x_{1}$ is a/the flower/blossom/bloom [body-part] of plant/species $x_{2}$; (adjective:) $x_{1}$ is floral.
xuso	xutla	smooth	2024-09-26	verb	$nは$aに對して滑らか (摩擦=小)	$x_{1}$ is smooth/even/[soft/silky] in texture/regularity.
xema	xirma	horse	2024-02-13	verb	$nは馬 (馬屬)	$x_{1}$ is a horse/equine/[colt/mare/stallion/pony] of species/breed $x_{2}$.
xeji	xekri	black	2024-04-26	verb	$nは黑い (明度=最小)	$x_{1}$ is black/extremely dark-colored [color adjective].
xevi	xebni	hate	2024-09-10	verb	$nは$aを憎惡する	$x_{1}$ hates/despises $x_{2}$ (object/abstraction); $x_{1}$ is full of hate for $x_{2}$; $x_{2}$ is odious to $x_{1}$.
xera	xilva	heal	2024-12-24	verb	$nは恢復する	$x_1$ heals/recovers from $x_2$
xoma	cmalu	small	2024-09-26	verb	$nは小さい	$x_{1}$ is small in property/dimension(s) $x_{2}$ (ka) as compared with standard/norm $x_{3}$.
xoru	xunre	red	2024-02-13	verb	$nは赤い	$x_{1}$ is red/crimson/ruddy [color adjective].
xoro	cukla	circle	2026-05-12	verb	$nは圓, 球	$x_{1}$ is round/circular [2-dimensional shape/form]; $x_{1}$ is a disk/circle/ring.
xanw	xadni	body	2024-02-13	verb	$nは肉體	$x_{1}$ is a/the body/corpus/corpse of $x_{2}$; (adjective:) $x_{1}$ is corporal/corporeal.
xane	xance	hand	2024-11-24	verb	$nは手	$x_{1}$ is a/the hand [body-part] of $x_{2}$; [metaphor: manipulating tool, waldo].
xafe	xamsi	sea	2024-02-13	verb	$nは海	$x_{1}$ is a sea/ocean/gulf/[atmosphere] of planet $x_{2}$, of fluid $x_{3}$; (adjective:) $x_{1}$ is marine.
xafa	cfari	happen	2024-08-23	verb	$nは存在する (起こる, 實現する, 實際である)	$x_{1}$ [state/event/process] commences/initiates/starts/begins to occur; (intransitive verb).
xaje	xabju	dwell	2024-12-20	verb	$nは$a (家) に居住する	$x_{1}$ dwells/lives/resides/abides at/inhabits/is a resident of location/habitat/nest/home/abode $x_{2}$.
xaro	xarju	pig	2024-02-13	verb	$nは豚 (猪屬)	$x_{1}$ is a pig/hog/swine/[boar] [pork/ham/bacon-producer] of species/breed $x_{2}$.
xara	xagri	reed	2026-05-13	verb	$nは木管樂器	$x_{1}$ is a oboe/clarinet/saxophone [reed musical instrument] with reed $x_{2}$.
lini	cikna	wake	2024-02-13	verb	$nは起きる (意識=有)	(adjective:) $x_{1}$ is awake/alert/conscious.
liny	citno	new	2026-05-10	verb	$nは$aを基準として新た (若い) (經過時間=小)	$x_{1}$ is young/youthful [relatively short in elapsed duration] by standard $x_{2}$.
limy	cimra	frog	2024-07-15	verb	$nは蛙 (無尾目)	$x_1$ is a frog/toad of species/variety $x_2$
lime	cinmo	emotion	2024-08-02	verb	$nは$a (感情) を感ず	$x_{1}$ feels emotion $x_{2}$ (ka) about $x_{3}$.
lify	cisma	smile	2024-02-13	verb	$nは笑む	$x_{1}$ smiles/grins (facial expression).
lihe	citka	eat	2024-02-13	verb	$nは$a (食料) を食ふ	$x_{1}$ eats/ingests/consumes (transitive verb) $x_{2}$.
liji	cipra	test	2024-07-26	verb	$nは$aを確認する (檢查する, 精查する, 試驗する)	$x_{1}$ (process/event) is a test for/proof of property/state $x_{2}$ in subject $x_{3}$ (individ./set/mass).
lije	ciblu	blood	2024-07-29	verb	$nは血	$x_{1}$ is blood/vital fluid of organism $x_{2}$.
lize	cinza	tong	2024-12-23	verb	$nは箸 (鉗子)	$x_{1}$ is a/are tong(s)/chopsticks/pincers/tweezers/pliers [tool/body-part] for $x_{2}$ to pinch $x_{3}$.
livi	cinba	kiss	2024-11-23	verb	$nは$aに口附ける	$x_{1}$ (agent) kisses/busses $x_{2}$ at locus $x_{3}$.
liri	cilmo	wet	2024-09-16	verb	$nは濕る	$x_{1}$ is moist/wet/damp with liquid $x_{2}$.
liry	cinla	thin	2025-07-17	verb	$nは薄い (厚さ=小)	$x_{1}$ is thin in direction/dimension $x_{2}$ by standard $x_{3}$; [relatively short in smallest dimension].
lymi	cinki	insect	2026-05-13	verb	$nは昆蟲	$x_{1}$ is an insect/arthropod of species $x_{2}$; [bug/beetle].
lege	cnebo	neck	2024-02-13	verb	$nは首	$x_{1}$ is a/the neck [body-part] of $x_{2}$; [metaphor: a relatively narrow point].
leni	cerni	dawn	2026-05-12	verb	$nは$a (惑星) の曉	$x_{1}$ is a morning [dawn until after typical start-of-work for locale] of day $x_{2}$ at location $x_{3}$.
lemi	ctebi	lip	2024-02-13	verb	$nは脣	$x_{1}$ is a/the lip [body-part]/rim of orifice $x_{2}$ of body $x_{3}$; (adjective:) $x_{1}$ is labial.
lela	crisa	summer	2024-08-30	verb	$nは$a (惑星) の夏 (最も暑い季節)	$x_{1}$ is summer/summertime [hot season] of year $x_{2}$ at location $x_{3}$.
lefq	cipni	bird	2024-02-13	verb	$nは鳥 (鳥類)	$x_{1}$ is a bird/avian/fowl of species $x_{2}$.
leje	cilre	learn	2024-08-01	verb	$nは$aを學ぶ	$x_{1}$ learns $x_{2}$ (du'u) about subject $x_{3}$ from source $x_{4}$ (obj./event) by method $x_{5}$ (event/process).
leri	cortu	hurt	2025-03-01	verb	$nは$a (力) に痛む	$x_{1}$ hurts/feels pain/hurt at locus $x_{2}$.
lqme	cmene	name	2024-07-28	verb	$nは$aを意味する (の名である)	$x_{1}$ (quoted word(s)) is a/the name/title/tag of $x_{2}$ to/used-by namer/name-user $x_{3}$ (person).
lqze	cripu	bridge	2025-02-08	verb	$nは橋梁	$x_{1}$ is a bridge/span over/across $x_{2}$ between $x_{3}$ and $x_{4}$ [unordered, typically destination first].
lqve	cpedu	ask	2024-07-28	verb	$nはを$a (質問) を$dへ問ふ	$x_{1}$ requests/asks/petitions/solicits for $x_{2}$ of/from $x_{3}$ in manner/form $x_{4}$.
lage	crane	front	2025-02-07	verb	$nは$aの前 (進行方向) に有る	$x_{1}$ is anterior/ahead/forward/(in/on) the front of $x_{2}$ which faces/in-frame-of-reference $x_{3}$.
lanw	canlu	space	2024-02-13	verb	$nは3次元物理的空間	$x_{1}$ is space/volume/region/room [at-least-3-dimensional area] occupied by $x_{2}$.
lana	canti	viscera	2024-02-13	verb	$nは內臟	$x_{1}$ is a/the gut(s)/entrails/intestines/viscera/innards/digestive system [body-part] of $x_{2}$.
laxa	cukta	book	2025-07-19	verb	$nは本 (卷, 册)	$x_{1}$ is a book containing work $x_{2}$ by author $x_{3}$ for audience $x_{4}$ preserved in medium $x_{5}$.
lafa	catra	kill	2024-08-24	verb	$nは殺す	$x_{1}$ (agent) kills/slaughters/murders $x_{2}$ by action/method $x_{3}$.
lazo	cadzu	walk	2024-06-18	verb	$nは$aを步く	$x_{1}$ walks/strides/paces on surface $x_{2}$ using limbs $x_{3}$.
lavw	carvi	rain	2024-08-19	verb	$nは雨	$x_{1}$ rains/showers/[precipitates] to $x_{2}$ from $x_{3}$; $x_{1}$ is precipitation [not limited to 'rain'].
laro	carmi	bright	2024-08-19	verb	$nは明るい (明度=大)	$x_{1}$ is intense/bright/saturated/brilliant in property (ka) $x_{2}$ as received/measured by observer $x_{3}$.
lara	carna	turn	2024-08-19	verb	$nは$a (中心, 軸) を回る	$x_1$ turns about vector $x_2$ towards direction $x_3$, turning angular distance / to face point $x_4$
swga	skapi	skin	2024-02-13	verb	$nは皮膚 (皮革)	$x_{1}$ is a pelt/skin/hide/leather from $x_{2}$.
swxa	skari	colour	2024-02-13	verb	$nは$a (色) を發する	$x_{1}$ is/appears to be of color/hue $x_{2}$ as perceived/seen by $x_{3}$ under conditions $x_{4}$.
swsa	stani	trunk	2024-02-13	verb	$nは胴 (幹, 莖)	$x_{1}$ is a/the stalk/stem/trunk [body-part] of plant/species $x_{2}$; [metaphor: main support].
swra	srana	relate	2024-09-14	verb	$nは$aに關はる ($a的)	$x_{1}$ pertains to/is germane/relevant to/concerns/is related/associated with/is about $x_{2}$.
sugu	sudga	dry	2024-09-16	verb	$nは乾く	$x_{1}$ is dry of liquid $x_{2}$; (adjective:) $x_{1}$ is arid.
suno	culno	full	2024-08-02	verb	$nは$aに滿ちる (密度=最大)	$x_{1}$ is full/completely filled with $x_{2}$.
sumu	sumne	smell	2024-02-13	verb	$nは$a (化學物質) を嗅ぐ	$x_{1}$ (experiencer) smells/scents (transitive verb) $x_{2}$; $x_{2}$ smells/has odor/scent to observer $x_{1}$.
susu	cusku	say	2024-06-14	verb	$nはを$a (表現) を言ふ	$x_{1}$ (agent) expresses/says $x_{2}$ (sedu'u/text/lu'e concept) for audience $x_{3}$ via expressive medium $x_{4}$.
sena	sinma	respect	2024-09-10	verb	$nは$aを敬ふ	$x_{1}$ esteems/respects/venerates/highly regards $x_{2}$ [object of respect].
semq	simsa	similar	2026-05-10	verb	$nは$aに似る (差分=小)	$x_{1}$ is similar/parallel to $x_{2}$ in property/quantity $x_{3}$ (ka/ni); $x_{1}$ looks/appears like $x_{2}$.
sele	since	snake	2024-07-15	verb	$nは蛇 (蛇亞目)	$x_{1}$ is a snake/serpent of species/breed $x_{2}$.
sese	sisti	stop	2024-08-31	verb	$nは止まる (速度=最小)	$x_{1}$ [agent] ceases/stops/halts/ends activity/process/state $x_{2}$ [not necessarily completing it].
sefa	senpi	doubt	2024-09-10	verb	$nは$aを疑ふ	$x_{1}$ doubts/is dubious/doubtful/skeptical/questions that $x_{2}$ (du'u) is true.
seja	sidju	help	2024-06-18	verb	$nは$aを助ける (支援する)	$x_{1}$ helps/assists/aids object/person $x_{2}$ do/achieve/maintain event/activity $x_{3}$.
seza	stedu	head	2024-02-13	verb	$nは頭	$x_{1}$ is a/the head [body-part] of $x_{2}$; [metaphor: uppermost portion].
seva	senva	dream	2024-10-16	verb	$nは$aを夢見る	$x_{1}$ dreams about/that $x_{2}$ (fact/idea/event/state); $x_{2}$ is a dream/reverie of $x_{1}$.
seri	sirji	straight	2026-05-12	verb	$nは直線 (平面) (曲率=最小)	$x_{1}$ is straight/direct/line segment/interval between $x_{2}$ and $x_{3}$; (adjective:) $x_{1}$ is linear.
soma	stuna	east	2025-03-01	verb	$nは$aの東 (自轉方向) に有る	$x_{1}$ is to the east/eastern side of $x_{2}$ according to frame of reference $x_{3}$.
soxo	skori	rope	2025-02-08	verb	$nは紐 (繩, 糸)	$x_{1}$ is cord/cable/rope/line/twine/cordage/woven strands of material $x_{2}$.
soza	sovda	egg	2024-09-16	verb	$nは卵 (卵子)	$x_{1}$ is an egg/ovum/sperm/pollen/gamete of/from organism [mother/father] $x_{2}$.
soru	sutra	swift	2024-06-18	verb	$nは速い (速度=大)	$x_{1}$ is fast/swift/quick/hastes/rapid at doing/being/bringing about $x_{2}$ (event/state).
soro	solri	sun	2024-02-13	verb	$nは恆星 (太陽)	$x_{1}$ is the sun of home planet $x_{2}$ (default Earth) of race $x_{3}$; (adjective:) $x_{1}$ is solar.
sagw	slabu	old	2026-05-10	verb	$nは$aを基準として古い (老いる) (經過時間=大)	$x_{1}$ is old/familiar/well-known to observer $x_{2}$ in feature $x_{3}$ (ka) by standard $x_{4}$.
sanw	sance	sound	2024-08-19	verb	$nは音	$x_{1}$ is sound produced/emitted by $x_{2}$.
sane	sanli	stand	2024-08-30	verb	$nは$aに立つ	$x_{1}$ stands [is vertically oriented] on surface $x_{2}$ supported by limbs/support/pedestal $x_{3}$.
sale	sakci	suck	2026-05-13	verb	$nは$aを吸ふ	$x_{1}$ sucks/is suction/vacuum/relatively low pressure of fluid/gas $x_{2}$ relative to high pressure $x_{3}$.
saso	salta	salt	2024-02-13	verb	$nは鹽 (NaCl)	$x_{1}$ (mass) is a quantity of salad [food] with ingredients/components including $x_{2}$.
safw	setfa	surface	2026-05-12	verb	$nは線 (曲線, 直線)	
safa	stali	stay	2024-02-13	verb	$nは地點 (時點) $aに有る (存在する)	$x_{1}$ remains/stays at/abides/lasts with $x_{2}$.
saha	sanga	sing	2024-02-13	verb	$nは$a (歌, 曲) を歌ふ (演奏する)	$x_{1}$ sings/chants $x_{2}$ [song/hymn/melody/melodic sounds] to audience $x_{3}$.
sazw	spaji	amaze	2024-08-02	verb	$nは$aに驚く (意外性=大)	$x_{1}$ (event/action abstract) surprises/startles/is unexpected [and generally sudden] to $x_{2}$.
savw	spati	plant	2024-08-19	verb	$nは植物	$x_{1}$ is a plant/herb/greenery of species/strain/cultivar $x_{2}$.
sara	sanra	scatter	2026-05-13	verb	$nは散る (分散する)	$x_1$ scatters/disperses/diffuses/dissolves in medium $x_2$ from starting point $x_3$
finy	finpe	fish	2024-02-13	verb	$nは魚 (魚類)	$x_{1}$ is a fish of species $x_{2}$ [metaphorical extension to sharks, non-fish aquatic vertebrates].
fily	firca	flirt	2026-05-13	verb	$nは$aと じゃれる (いちゃつく)	$x_1$ flirts with $x_2$ by doing $x_3$
fise	citsi	season	2024-08-30	verb	$nは$a (惑星) の季節	$x_{1}$ is a season/is seasonal [cyclical interval], defined by interval/property $x_{2}$, of year(s) $x_{3}$.
fife	sipna	sleep	2024-04-26	verb	$nは眠る (意識=最小)	$x_{1}$ is asleep (adjective); $x_{1}$ sleeps/is sleeping.
five	fliba	fail	2026-05-13	verb	$nは失敗する	$x_{1}$ fails at doing $x_{2}$ (state/event); $x_{1}$ is a failure at its role in $x_{2}$.
fyli	stici	west	2024-08-24	verb	$nは$aの西 (自轉方向の逆) に有る	$x_{1}$ is to the west/western side of $x_{2}$ according to frame of reference $x_{3}$.
fyji	flira	face	2026-05-13	verb	$nは顔	$x_{1}$ is a/the face [head/body-part] of $x_{2}$; (adjective:) $x_{1}$ is facial.
fyri	frica	differ	2024-02-13	verb	$nは$aと異なる (差分=有)	$x_{1}$ differs/is distinct from/contrasts with/is unlike $x_{2}$ in property/dimension/quantity $x_{3}$.
fena	fengu	angry	2024-09-10	verb	$nは$aに怒る	$x_{1}$ is angry/mad at $x_{2}$ for $x_{3}$ (action/state/property).
feje	flecu	river	2024-02-13	verb	$nは河川	$x_{1}$ is a current/flow/river of/in $x_{2}$ flowing in direction to/towards $x_{3}$ from direction/source $x_{4}$.
ferq	fepri	lung	2024-09-02	verb	$nは肺	$x_{1}$ is a/the lung [body-part] of $x_{2}$; [metaphor: breathing/respiratory apparatus/bellows].
fogu		forget	2024-08-01	verb	$nは$aを忘る	
fomu	frumu	frown	2024-02-13	verb	$nは顰む	$x_{1}$ frowns/grimaces (facial expression).
fola	forca	fork	2024-12-23	verb	$nは叉	$x_{1}$ is a fork/fork-type tool/utensil for purpose $x_{2}$ with tines/prongs $x_{3}$ on base/support $x_{4}$.
fosa	fusra	rot	2024-02-13	verb	$nは腐敗する	$x_{1}$ rots/decays/ferments with decay/fermentation agent $x_{2}$; $x_{1}$ is rotten/decayed/fermented.
faxe	fraxu	forgive	2024-02-13	verb	$nは$aを許す	$x_{1}$ forgives $x_{2}$ for event/state/activity $x_{3}$.
fase	fatne	back	2024-06-14	verb	$nは$aの逆行	$x_{1}$ [sequence] is in reverse order from $x_{2}$ [sequence]; $x_{1}$ (object) is inverted from $x_{2}$ (object).
faso	fraksino	ash	2024-09-16	verb	$nは灰	
fave	farvi	develop	2026-05-13	verb	$nは發展する	$x_{1}$ develops/evolves towards/into $x_{2}$ from $x_{3}$ through stages $x_{4}$.
hwga		dislike	2026-05-09	verb	$nは$aを厭ふ	
hemq		hue	2024-11-20	verb	$nは$a (色相) を發する	
haxw		dull	2024-08-19	verb	$nは鈍い (彩度=小)	
hase	cause	gasnu	2026-05-10	verb	原因$nは$結果aを引き起こす	
hafe		volume	2026-05-12	verb	$nは立體	
hara	clani	long	2024-02-13	verb	$nは長い (長さ=大)	$x_{1}$ is long in dimension/direction $x_{2}$ (default longest dimension) by measurement standard $x_{3}$.
jimi	jirna	horn	2024-02-13	verb	$nは角	$x_{1}$ is a/the horn [body-part] of $x_{2}$; [metaphor: pointed extremity].
jimy	jimca	limb	2024-02-13	verb	$nは肢 (腕, 脚, 枝)	$x_{1}$ is a branch/bough/limb of $x_{2}$; $x_{2}$ forks into branches $x_{1}$; [preferred over metaphorical birka].
jime	jinme	metal	2025-07-17	verb	$nは金屬	$x_{1}$ is a quantity of/contains/is made of made of metal of composition including $x_{2}$.
jiri	jilra	envy	2024-09-12	verb	$nは$aを羨む (妬む)	$x_{1}$ (person) is jealous of/envies $x_{2}$ (person) about/for $x_{3}$ (property - ka).
jymi	jmive	live	2024-02-13	verb	$nは生く (生命=有)	$x_{1}$ lives/is alive by standard $x_{2}$; $x_{1}$ is an organism/living thing.
jyvi	jibni	near	2024-08-08	verb	$nは$aへ近い (距離=小)	$x_{1}$ is near/close to/approximates $x_{2}$ in property/quantity $x_{3}$ (ka/ni).
jege	jgena	knot	2024-12-23	verb	$nは結び目 (絡まり)	$x_{1}$ is a knot/tangle in/between $x_{2}$ (object/jo'u-objects).
jeme	jimpe	understand	2024-06-14	verb	$nはを$a (表現) を理解する	$x_{1}$ understands/comprehends fact/truth $x_{2}$ (du'u) about subject $x_{3}$; $x_{1}$ understands (fi) $x_{3}$.
jelq	jelca	burn	2024-12-08	verb	$n (燃料) は$a (酸化劑) で燃焼する	$x_{1}$ burns/[ignites/is flammable/inflammable] at temperature $x_{2}$ in atmosphere $x_{3}$.
jese	jensi	scissor	2024-07-28	verb	$nは鋏	$x_1$ is a (set/pair) of scissors/shears/clippers/(hedge) trimmers/tongs [tool] with parts/blades $x_2$ (scissor) and used for purpose $x_3$
jeja	jcalu	nail	2024-02-13	verb	$nは爪	
jeri	jgari	hug	2024-11-23	verb	$nは$aを抱擁する	$x_{1}$ grasps/holds/clutches/seizes/grips/[hugs] $x_{2}$ with $x_{3}$ (part of $x_{1}$) at locus $x_{4}$ (part of $x_{2}$).
jqze	jdini	money	2024-08-25	verb	$nは金 (貨幣, 紙幣, 硬貨)	$x_{1}$ is money/currency issued by $x_{2}$; (adjective:) $x_{1}$ is financial/monetary/pecuniary/fiscal.
jqre	crino	green	2024-02-13	verb	$nは綠色を呈する	$x_{1}$ is green/verdant [color adjective].
jage	jgita	guitar	2026-05-13	verb	$nは弦樂器	$x_{1}$ is guitar/violin/fiddle/harp [stringed musical instrument] with actuator/plectrum/bow $x_{2}$.
janw		_self	2024-02-17	verb	$nは この言語	
jale	janco	shoulder	2024-02-13	verb	$nは肩 (尻)	$x_{1}$ is a/the shoulder/hip/joint [body-part] attaching limb/extremity $x_{2}$ to body $x_{3}$.
jafo	jamfu	foot	2024-11-24	verb	$nは足	$x_{1}$ is a/the foot [body-part] of $x_{2}$; [metaphor: lowest portion] (adjective:) $x_{1}$ is pedal.
jaje	jadji	locust	2026-05-13	verb	$nは蝗	$x_1$ is a locust/grasshopper/cricket of species/variety $x_2$
jaza	jdari	hard	2024-09-26	verb	$nは$aに對して硬い (力に對する變形=小)	$x_{1}$ is firm/hard/resistant/unyielding to force $x_{2}$ under conditions $x_{3}$.
zuno	zulna	left	2024-02-13	verb	$nは$aの左に有る	
zusu	zutse	sit	2024-08-30	verb	$nは$aに座る	$x_{1}$ sits [assumes sitting position] on surface $x_{2}$.
zufo	jufra	sentence	2024-10-05	verb	$nは文 (命題)	$x_{1}$ (text) is a sentence/statement about $x_{2}$ [topic/subject/predicate/focus] in language $x_{3}$.
zeje	zdile	enjoy	2024-09-10	verb	$nは$aを樂しむ	$x_{1}$ (abstract) is amusing/entertaining to $x_{2}$ in property/aspect $x_{3}$; $x_{3}$ is what amuses $x_{2}$ about $x_{1}$.
zeri	zirpu	purple	2024-02-13	verb	$nは紫色を呈する	$x_{1}$ is purple/violet [color adjective].
zona	sraku	scratch	2026-05-13	verb	$nは$aを掻く	$x_{1}$ [abrasive/cutting/scratching object/implement] scratches/[carves]/erodes/cuts [into] $x_{2}$.
zomu	smuci	spoon	2024-12-23	verb	$nは匙	$x_{1}$ is a spoon/scoop (tool) for use $x_{2}$, made of material $x_{3}$.
zamw		imagine	2024-02-13	verb	$nは$aを想像する (夢想する)	
zaso	zbasu	make	2024-08-02	verb	$nは材料 (部品) $aから$dを作る (構成する)	$x_{1}$ makes/assembles/builds/manufactures/creates $x_{2}$ out of materials/parts/components $x_{3}$.
zafa	sfani	fly	2026-05-13	verb	$nは蠅	$x_{1}$ is a fly [a small non-stinging flying insect] of species/breed $x_{2}$.
zarw	satre	caress	2024-11-23	verb	$nは$aを撫でる (愛撫する)	$x_{1}$ (agent) strokes/rubs/pets $x_{2}$ with $x_{3}$.
viny	vibna	vagina	2024-09-22	verb	$nは膣	$x_{1}$ is a/the vagina [body-part] of $x_{2}$.
vify	viska	see	2024-02-13	verb	$nは$a (光) を見る	$x_{1}$ sees/views/perceives visually $x_{2}$ under conditions $x_{3}$.
vife	vifne	fresh	2024-07-24	verb	$nは新鮮	(adjective:) $x_{1}$ is fresh/unspoiled.
vire	vidru	vidru	2026-05-13	verb	$nは ゐるす	$x_{1}$ is a virus of species/breed/defining property $x_{2}$ capable of infecting [at] $x_{3}$.
vyli	critu	autumn	2024-11-21	verb	$nは$a (惑星) の秋 (冷える季節)	$x_{1}$ is autumn/fall [harvest/cooling season] of year $x_{2}$ at location $x_{3}$.
vwga		shun	2024-09-27	verb	$nは$aを避く	
vwma		spine	2025-02-06	verb	$nは脊椎	
veni	vente	belly	2024-09-22	verb	$nは腹	$x_1$ is the ventral part of body $x_2$
venq	vecnu	sell	2026-05-13	verb	販賣者$nは商品$aを購買者$dへ賣る	$x_{1}$ [seller] sells/vends $x_{2}$ [goods/service/commodity] to buyer $x_{3}$ for amount/cost/expense $x_{4}$.
vena	vensa	spring	2024-11-21	verb	$nは$a (惑星) の春 (暖まる季節)	$x_{1}$ is spring/springtime [warming season] of year $x_{2}$ at location $x_{3}$; (adjective:) $x_{1}$ is vernal.
vese		preejaculate	2024-08-31	verb	$nは尿道球腺液	
veje		clause	2024-10-05	verb	$nは節	
vqse		gray	2024-08-19	verb	$nは無彩色を呈する (彩度=最小)	
